Class Name,Count
Arctic fox,76
American coot,76
gorilla,76
koala,76
Nile crocodile,76
Samoyed,75
pufferfish,75
Afghan Hound,75
Boxer,75
hippopotamus,74
little blue heron,74
Dalmatian,73
langur,73
longhorn beetle,72
lacewing,72
American Staffordshire Terrier,72
Irish Terrier,72
eel,72
smooth green snake,72
brain coral,71
half-track,71
sea snake,70
sloth bear,70
indigo bunting,70
tank,70
garfish,69
clownfish,69
meerkat,69
Siberian Husky,69
safe,68
dishcloth,68
barn spider,67
Redbone Coonhound,67
trilobite,67
Pomeranian,67
wolf spider,66
collie,66
Australian Kelpie,66
Scottish Terrier,66
dhole,66
Basenji,65
guinea pig,64
chickadee,64
barometer,64
rhinoceros beetle,64
English Springer Spaniel,63
threshing machine,63
otter,62
hermit crab,62
Irish Setter,62
Bullmastiff,62
space bar,62
oystercatcher,61
German Shorthaired Pointer,61
Geoffroy's spider monkey,61
Flat-Coated Retriever,61
red panda,60
pitcher,60
dowitcher,60
Dobermann,59
Cocker Spaniels,59
jackfruit,59
Norwich Terrier,58
prairie grouse,58
scorpion,58
Pickelhaube,57
Shetland Sheepdog,57
dung beetle,57
husky,57
wombat,56
coucal,55
junco,55
skunk,55
Scottish Deerhound,54
isopod,54
bittern,54
borzoi,54
worm snake,54
Alaskan tundra wolf,54
common squirrel monkey,53
cuirass,53
jacamar,53
kingsnake,53
Kuvasz,53
grey fox,53
eastern hog-nosed snake,52
mink,52
tape player,52
breastplate,52
Cairn Terrier,51
Pyrenean Mountain Dog,51
Lhasa Apso,51
indri,50
sea cucumber,50
howler monkey,50
Shih Tzu,50
dunlin,50
cougar,49
European garden spider,49
cicada,49
electric ray,48
chambered nautilus,48
ruddy turnstone,48
porcupine,48
grasshopper,47
guenon,47
black swan,47
King Charles Spaniel,46
Alaskan Malamute,46
titi,45
Komondor,45
Irish Wolfhound,45
Bloodhound,45
English Setter,45
marmoset,45
wild boar,45
spiny lobster,44
Komodo dragon,44
frilled-necked lizard,44
Papillon,44
Standard Poodle,44
Miniature Poodle,44
Maltese,44
rock beauty,44
Brittany Spaniel,44
slug,44
Bluetick Coonhound,43
Bedlington Terrier,43
Welsh Springer Spaniel,43
digital watch,43
alligator lizard,43
dugong,42
Rottweiler,42
Gordon Setter,42
Giant Schnauzer,41
Newfoundland,40
mongoose,40
Australian Silky Terrier,40
Australian Terrier,40
Lakeland Terrier,39
chiton,39
Basset Hound,39
badger,38
Curly-coated Retriever,38
three-toed sloth,37
flatworm,37
red-breasted merganser,37
European polecat,37
Norfolk Terrier,37
fiddler crab,37
toy terrier,36
spoonbill,36
common gallinule,36
armadillo,36
banded gecko,36
odometer,36
Chow Chow,36
American bullfrog,36
garter snake,36
St. Bernard,35
cricket,33
African wild dog,33
eastern diamondback rattlesnake,32
Miniature Schnauzer,32
oil filter,32
southern black widow,32
Mexican hairless dog,32
Bernese Mountain Dog,31
green mamba,30
measuring cup,30
tiger beetle,28
Kerry Blue Terrier,28
Border Terrier,28
holster,27
Treeing Walker Coonhound,27
Airedale Terrier,27
Sussex Spaniel,27
tailed frog,26
slide rule,26
Greater Swiss Mountain Dog,26
scabbard,26
Tibetan Terrier,26
Norwegian Elkhound,25
sturgeon,25
gibbon,25
Soft-coated Wheaten Terrier,25
chiffonier,24
snow leopard,23
black-and-white colobus,23
Briard,23
red wolf,23
ground beetle,22
Carolina anole,22
Leonberger,21
gyromitra,21
whiskey jug,21
Entlebucher Sennenhund,20
Old English Sheepdog,20
proboscis monkey,20
desert grassland whiptail lizard,20
Bouvier des Flandres,20
Wire Fox Terrier,19
platypus,19
Appenzeller Sennenhund,19
Gila monster,17
black-footed ferret,16
Black and Tan Coonhound,16
axolotl,16
fire salamander,16
yellow garden spider,15
Griffon Bruxellois,15
Pekingese,14
common redshank,14
cassette player,14
newt,14
Saharan horned viper,14
Irish Water Spaniel,13
Tibetan Mastiff,13
sidewinder,13
Keeshond,13
spotted salamander,12
siamang,12
English foxhound,10
Clumber Spaniel,10
Affenpinscher,9
smooth newt,8
echidna,8
patas monkey,6
Otterhound,6
Dandie Dinmont Terrier,6
Japanese Chin,5
Sealyham Terrier,5
Standard Schnauzer,4
